State,Price(P),Change(P),Price(D),Change(D)
Andaman And Nicobar,84.10 ₹/L,  0.00,79.74 ₹/L,  0.00
Andhra Pradesh,111.73 ₹/L,+ 0.30,99.48 ₹/L,+ 0.28
Arunachal Pradesh,95.39 ₹/L,  0.00,84.66 ₹/L,  0.00
Assam,98.70 ₹/L,+ 0.12,90.99 ₹/L,+ 0.12
Bihar,109.66 ₹/L,+ 0.48,96.28 ₹/L,+ 0.45
Chandigarh,96.20 ₹/L,  0.00,84.26 ₹/L,  0.00
Chhattisgarh,103.18 ₹/L,+ 0.20,96.15 ₹/L,+ 0.19
Dadra And Nagar Haveli,94.43 ₹/L,  0.00,89.98 ₹/L,  0.00
Daman And Diu,94.24 ₹/L,  0.00,89.79 ₹/L,  0.00
Delhi,96.72 ₹/L,  0.00,89.62 ₹/L,  0.00
Goa,98.08 ₹/L,+ 0.67,90.62 ₹/L,+ 0.65
Gujarat,96.42 ₹/L,- 0.07,92.17 ₹/L,- 0.06
Haryana,97.29 ₹/L,- 0.23,90.14 ₹/L,- 0.22
Himachal Pradesh,95.07 ₹/L,- 0.63,87.35 ₹/L,- 0.57
Jammu And Kashmir,101.57 ₹/L,+ 0.77,86.65 ₹/L,+ 0.52
Jharkhand,100.43 ₹/L,+ 0.30,95.22 ₹/L,+ 0.29
Karnataka,102.49 ₹/L,- 0.19,88.41 ₹/L,- 0.18
Kerala,108.58 ₹/L,+ 0.72,97.45 ₹/L,+ 0.68
Madhya Pradesh,109.43 ₹/L,- 0.27,94.65 ₹/L,- 0.24
Maharashtra,106.92 ₹/L,+ 0.96,93.41 ₹/L,+ 0.92
Manipur,101.19 ₹/L,- 0.10,87.11 ₹/L,- 0.09
Meghalaya,96.62 ₹/L,  0.00,86.13 ₹/L,  0.00
Mizoram,95.64 ₹/L,  0.00,82.12 ₹/L,  0.00
Nagaland,98.28 ₹/L,  0.00,86.65 ₹/L,  0.00
Odisha,104.81 ₹/L,- 0.09,96.32 ₹/L,- 0.08
Puducherry,95.89 ₹/L,- 0.04,86.12 ₹/L,- 0.04
Punjab,98.76 ₹/L,+ 0.50,89.06 ₹/L,+ 0.47
Rajasthan,108.54 ₹/L,+ 0.34,93.78 ₹/L,+ 0.31
Sikkim,102.70 ₹/L,  0.00,89.80 ₹/L,  0.00
Tamil Nadu,103.88 ₹/L,+ 0.25,95.50 ₹/L,+ 0.25
Telangana,111.67 ₹/L,- 0.16,99.69 ₹/L,- 0.15
Tripura,98.66 ₹/L,  0.00,87.65 ₹/L,  0.00
Uttar Pradesh,96.20 ₹/L,- 0.25,89.37 ₹/L,- 0.25
Uttarakhand,95.43 ₹/L,  0.00,90.44 ₹/L,  0.00
West Bengal,106.82 ₹/L,  0.00,93.49 ₹/L,  0.00
